Time,Altitude,Temperature,Acceleration
1,196.1856,25.789,-10.393
1.2,196.5596,25.327,-9.6972
1.4,203.1936,23.7625,-9.5026
1.6,200.8473,24.9401,-9.3991
1.8,199.3943,23.4405,-8.4992
2,204.68,26.0175,-10.2471
2.2,200.3289,26.65,-10.2027
2.4,194.9517,24.9218,-8.9193
2.6,199.6497,24.7345,-9.3216
2.8,196.6324,23.017,-8.5708
3,198.5499,25.6772,-10.3736
3.2,200.0464,25.8854,-9.1062
3.4,208.3857,25.2434,-9.5674
3.6,204.336,23.4417,-11.7288
3.8,198.8214,25.0433,-10.012
4,205.7466,26.2603,-10.5133
4.2,199.3884,25.2042,-10.2494
4.4,211.8533,22.111,-10.0239
4.6,194.0293,24.8964,-10.5356
4.8,197.4325,24.7133,-8.635
5,201.3865,24.0218,-8.6033
5.2,188.5453,25.8237,-9.611
5.4,206.9408,25.0604,-9.4346
5.6,202.4885,23.4852,-10.4958
5.8,198.6481,21.7128,-11.0519
6,198.9536,25.7613,-11.3105
6.2,200.8622,24.5723,-9.8045
6.4,195.4808,24.799,-9.9721
6.6,198.0233,24.3915,-11.3193
6.8,208.3104,24.9995,-9.6367
7,185.4505,26.4603,-9.4529
7.2,196.7291,22.2292,-9.5699
7.4,202.4592,25.6153,-9.4322
7.6,199.056,25.3567,-10.3135
7.8,203.2006,23.9062,-10.1355
8,202.4419,24.6496,-9.7916
8.2,204.7277,24.8793,-10.5299
8.4,190.4722,25.7171,-9.9304
8.6,195.0054,26.5465,-10.8786
8.8,199.2709,26.0155,-8.572
9,195.9398,24.7891,-10.8805
9.2,191.4684,28.6887,-9.9161
9.4,210.1298,23.7523,-10.1817
9.6,193.7242,25.2175,-10.0485
9.8,207.0257,22.0713,-10.3913
10,209.1877,25.0238,-8.4418
10.2,206.8029,24.4785,-8.8317
10.4,199.6035,25.2991,-10.5605
10.6,200.2446,26.4689,-10.6768
10.8,204.44,26.9322,-9.8684
11,198.5964,22.714,-8.8049
11.2,197.0152,24.519,-9.7614
11.4,199.0905,25.9197,-10.8234
11.6,193.0272,25.0289,-10.4128
11.8,195.8223,28.1283,-10.3393
12,192.866,23.4349,-9.6992
12.2,203.7864,22.8362,-8.9018
12.4,197.4604,23.6087,-9.0446
12.6,194.7136,25.4024,-10.6058
12.8,211.415,24.2408,-10.5987
13,195.7352,24.6787,-9.0991
13.2,202.4008,24.8495,-9.2869
13.4,203.6226,22.4868,-9.8919
13.6,208.5165,26.1921,-9.5391
13.8,198.3337,24.2404,-10.6331
14,200.7488,23.76,-9.2836
14.2,191.979,23.6116,-9.9121
14.4,208.0211,23.3129,-10.1559
14.6,200.4854,24.2652,-11.0733
14.8,201.7899,25.0367,-9.4492
15,204.4374,25.1262,-11.3613
15.2,195.2218,24.4893,-9.8175
15.4,189.278,25.3935,-10.0859
15.6,209.0456,24.297,-9.9285
15.8,207.9585,25.2876,-10.3814
16,218.095,25.6962,-10.1867
16.2,210.1186,22.5192,-8.6166
16.4,195.5634,24.5502,-9.7394
16.6,197.4203,25.4532,-9.174
16.8,199.9971,22.853,-10.5768
17,209.9057,25.3251,-9.7605
17.2,202.1057,23.1276,-10.7743
17.4,204.7854,22.7713,-11.135
17.6,205.2895,24.8916,-9.6256
17.8,196.4978,24.8956,-9.3086
18,198.866,25.8188,-10.2426
18.2,204.0282,22.9576,-10.3754
18.4,193.16,27.5999,-10.8531
18.6,198.2001,27.3213,-8.8934
18.8,193.3551,22.8868,-9.916
19,208.9797,24.972,-9.1427
19.2,203.7823,25.7836,-9.4425
19.4,212.5887,26.131,-10.9397
19.6,194.3773,25.0455,-10.7901
19.8,202.8035,24.9088,-11.2293
20,196.0825,24.2194,-10.3208
20.2,191.3288,23.9482,-10.1577
20.4,202.6746,26.953,-10.8862
20.6,193.1151,24.5469,-8.7264
20.8,199.9439,22.9375,-10.8019
